Historia muzyki teatralnej i filmowej;1M;dr Katarzyna Dziewintkowska;15;zal;zst;2;2;2;2;4;I;KiTM;wtorek, 09:00-12:00, sala 301B, realizacja w podwojnym wymiarze godzin w ustalonych przez prowadzacego terminach;
Historia Slaskiej kultury muzycznej;3L;dr Milosz Kula;10;zst;egz;1;1;1;1;2;I;KiTM;sroda, 11:00-12:30, sala 005D, realizacja w podwojnym wymiarze godzin w ustalonych przez prowadzacego terminach;
Historia teorii muzyki (wyklad);1M;dr hab. Tomasz Kienik;4;zst;egz;1;1;1;1;2;I;KiTM;poniedzialek, 12:00-13:30, sala 217A, realizacja w podwojnym wymiarze godzin w ustalonych przez prowadzacego terminach;
Komputer w pracy tworczej;1M;dr hab. Pawel Hendrich;1;zal;zst;1;1;2;2;4;I;KiTM;wtorek, 16:15-17:45, sala 112 SKK, realizacja w podwojnym wymiarze godzin w ustalonych przez prowadzacego terminach;"Wymagania wstepne: ukonczony kurs ""Propedeutyka kompozycji komputerowej"" lub wiedza i umiejetnosci adekwatne do poziomu zaliczenia tego kursu"
Kontrapunkt (grupa 1);2L;dr Katarzyna Dziewintkowska;2;zst;egz;2;2;2;2;4;I;KiTM;poniedzialek, 08:50-10:20, sala 203B;"Kontynuacja ""Kontrapunktu 1"""
Kontrapunkt (grupa 2);2L;dr Katarzyna Dziewintkowska;2;zal;egz;2;2;2;2;4;I;KiTM;poniedzialek, 13:45-15:15, sala 203B;"Kontynuacja ""Kontrapunktu 1"""
Kontrapunkt 1 (grupa 1);1L;dr Michal Zinkowski;2;zst;zst;2;2;2;2;4;I;KiTM;wtorek, 12:15-13:45, sala 301B;
Kontrapunkt 1 (grupa 2);1L;dr Michal Zinkowski;2;zst;zst;2;2;2;2;4;I;KiTM;wtorek, 13:50-15:20, sala 301B;
Krytyka i prelekcja;2L;mgr Joanna Kolodziejska;10;zal;zst;2;2;2;2;4;I;KiTM;wtorek, 16:25-17:55, sala 301B;
Ksztalcenie sluchu 2 (grupa 1);2L;dr hab. Michal Moc;2;zst;egz;2;2;2;2;4;I;KiTM;"poniedzialek (stacjonarnie), 15:20-16:05, sala 301F;e-learning: realizowany indywidualnie wt-sb";"Kontynuacja ""Ksztalcenia sluchu 1"". Zapis tylko po wczesniejszym ustaleniu z prowadzacym"
Ksztalcenie sluchu 2 (grupa 2);2L;dr hab. Michal Moc;2;zst;egz;2;2;2;2;4;I;KiTM;"poniedzialek (stacjonarnie), 16:10-16:55, sala 301F;e-learning: realizowany indywidualnie wt-sb";"Kontynuacja ""Ksztalcenia sluchu 1"". Zapis tylko po wczesniejszym ustaleniu z prowadzacym"
Ksztalcenie sluchu 1 (grupa 1);1L;mgr Urszula Koza;2;zst;zst;2;2;2;2;4;I;KiTM;wtorek, 16:00-17:30, sala 203B;
Ksztalcenie sluchu 1 (grupa 2);1L;mgr Urszula Koza;3;zst;zst;2;2;2;2;4;I;KiTM;wtorek, 16:00-17:30, sala 005D;
Ksztalcenie sluchu z partytura orkiestrowa;3L;dr hab. Tomasz Kienik;5;zst;egz;2;2;2;2;4;I;KiTM;poniedzialek, 08:50-10:20, sala 217A;Przedmiot rekomendowany studentom kompozycji i teorii muzyki
Kultura i sztuka Baroku na Slasku 1648-1741;3L;dr Dariusz Galewski;10;zal;zst;2;2;2;2;4;I;KiTM;piatek, 10:05-11:35, sala 001E;
Literatura muzyczna;2L;dr Aleksandra Pijarowska (prof. AMKL);2;zst;egz;2;2;2;2;4;I;KiTM;sroda, 11:00-12:30, sala 301B;"Kontynuacja ""Literatury muzycznej 1"""
Literatura muzyczna 1;1L;dr Milosz Kula;15;zst;zst;2;2;2;2;4;I;KiTM;sroda, 17:35-19:05, sala 001E;Od starozytnosci do XVIII w.
Metodologia pracy naukowej;2L;prof. dr hab. Anna Granat-Janki;2;zst;egz;1;1;1;1;2;I;KiTM;sroda, 14:15-15:00, sala 202B;
Metody analityczne w XX i XXI wieku;1M;dr hab. Tomasz Kienik;2;zal;zst;2;2;2;2;4;I;KiTM;czwartek, 10:00-11:30, sala 301B;
Muzyka a humanistyka;2M;dr Katarzyna Bartos;5;zst;egz;2;2;2;3;5;I;KiTM;czwartek, 13:10-14:40, sala 001E;Fakultet dla studentow Wydzialu Instrumentalnego.
Muzyka i media;2L;mgr Joanna Kolodziejska;15;zal;zst;1;1;1;1;2;I;KiTM;wtorek, 14:00-15:30, sala 217A, realizacja w podwojnym wymiarze godzin w ustalonych przez prowadzacego terminach;
Muzyka polska XX i XXI wieku;2L;dr Aleksandra Pijarowska (prof. AMKL);2;zst;egz;2;2;2;2;4;I;KiTM;sroda, 12:35-14:05, sala 301B;
Muzyka XX i XXI wieku - kontynuacja;2M;dr Katarzyna Bartos;5;zst;egz;2;2;3;3;6;I;KiTM;czwartek, 11:35-13:05, sala 301B;"Kontynuacja ""Muzyki XX i XXI wieku 1"""
Muzyka XX i XXI wieku 1;1M;prof. dr hab. Anna Granat-Janki;5;zst;zst;2;2;2;2;4;I;KiTM;sroda, 11:00-12:30, sala 202B;
Muzykologiczna informacja naukowa wprowadzenie do bibliografii naukowej;2M;mgr Aleksandra Ferenc;3;zst;egz;2;2;2;2;4;I;KiTM;czwartek, 09:30-11:00, sala do uzgodnienia z prowadzaca;
Nowoczesne metody zarzadzania zespolem;3L;dr hab. Robert Kurdybacha;15;zst;zst;1;1;1;1;2;I;KiTM;czwartek, 17:45-19:15, sala 301B, realizacja w podwojnym wymiarze godzin w ustalonych przez prowadzacego terminach;
Organizacja zycia muzycznego;2L;dr Milosz Kula;10;zal;zst;1;1;1;1;2;I;KiTM;sroda, 15:05-15:50, sala 005D;
