Kształcenie słuchu 1 (grupa 1);1L;dr hab. Adam Porębski;2;zst;zst;2;2;2;2;4;I;KiTM;wtorek, 16:00-17:30, sala 203B;
Kształcenie słuchu 1 (grupa 2);1L;mgr Urszula Koza;3;zst;zst;2;2;2;2;4;I;KiTM;wtorek, 16:00-17:30, sala 005D;
Kształcenie słuchu z partyturą orkiestrową;3L;dr hab. Tomasz Kienik;5;zst;egz;2;2;2;2;4;I;KiTM;poniedziałek, 08:50-10:20, sala 217A;Przedmiot rekomendowany studentom kompozycji i teorii muzyki
Kultura i sztuka Baroku na Śląsku 1648-1741;3L;dr Dariusz Galewski;10;zal;zst;2;2;2;2;4;I;KiTM;piątek, 10:05-11:35, sala 001E;
Literatura muzyczna;2L;dr Aleksandra Pijarowska, prof. AMKL;2;zst;egz;2;2;2;2;4;I;KiTM;środa, 11:00-12:30, sala 301B;"Kontynuacja ""Literatury muzycznej 1"""
Literatura muzyczna 1;1L;dr Miłosz Kula;15;zst;zst;2;2;2;2;4;I;KiTM;środa, 17:35-19:05, sala 001E;Od starożytności do XVIII w.
Metodologia pracy naukowej;2L;prof. dr hab. Anna Granat-Janki;2;zst;egz;1;1;1;1;2;I;KiTM;środa, 14:15-15:00, sala 202B;
Metody analityczne w XX i XXI wieku;1M;dr hab. Tomasz Kienik;2;zal;zst;2;2;2;2;4;I;KiTM;czwartek, 10:00-11:30, sala 301B;
Muzyka a humanistyka;2M;dr Katarzyna Bartos;5;zst;egz;2;2;2;3;5;I;KiTM;czwartek, 13:10-14:40, sala 001E;Fakultet dla studentów Wydziału Instrumentalnego.
Muzyka i media;2L;mgr Joanna Kołodziejska;15;zal;zst;1;1;1;1;2;I;KiTM;wtorek, 14:00-15:30, sala 217A, realizacja w podwójnym wymiarze godzin w ustalonych przez prowadzącego terminach;
Muzyka polska XX i XXI wieku;2L;dr Aleksandra Pijarowska, prof. AMKL;2;zst;egz;2;2;2;2;4;I;KiTM;środa, 12:35-14:05, sala 301B;
Muzyka XX i XXI wieku - kontynuacja;2M;dr Katarzyna Bartos;5;zst;egz;2;2;3;3;6;I;KiTM;czwartek, 11:35-13:05, sala 301B;"Kontynuacja ""Muzyki XX i XXI wieku 1"""
Muzyka XX i XXI wieku 1;1M;prof. dr hab. Anna Granat-Janki;5;zst;zst;2;2;2;2;4;I;KiTM;środa, 11:00-12:30, sala 202B;
Muzykologiczna informacja naukowa – wprowadzenie do bibliografii naukowej;2M;mgr Aleksandra Ferenc;3;zst;egz;2;2;2;2;4;I;KiTM;czwartek, 09:30-11:00,,;Sala do uzgodnienia z prowadzącą
Nowoczesne metody zarządzania zespołem;3L;dr hab. Robert Kurdybacha;15;zst;zst;1;1;1;1;2;I;KiTM;czwartek, 17:45-19:15, sala 301B, realizacja w podwójnym wymiarze godzin w ustalonych przez prowadzącego terminach;
Organizacja życia muzycznego;2L;dr Miłosz Kula;10;zal;zst;1;1;1;1;2;I;KiTM;środa, 15:05-15:50, sala 005D;
Orkiestra muzyki XX i XXI wieku;wszystkie lata;dr hab. Robert Kurdybacha;b.o.;zal;zal;2;2;3;3;6;I;KiTM;czwartek, 14:30-17:30, Sala Prób 102E, realizacja w podwójnym wymiarze godzin w ustalonych przez prowadzącego terminach;
Paleografia muzyczna;1M;dr Grzegorz Joachimiak;5;zal;zst;2;2;2;2;4;I;KiTM;czwartek, 11:40-14:40, sala 002E, zajęcia realizowane w podwójnym wymiarze godzin wyłącznie w semestrze zimowym;
Podstawy instrumentacji i kompozycji;2L;dr Grzegorz Wierzba;2;zal;zst;1;1;1;1;2;I;KiTM;środa, 17:50-18:35, sala 404B;
Podstawy realizacji nagrań;3L;mgr Kamil Biedrzycki;5;zst;-;2;-;2;-;2;I;KiTM;poniedziałek, 12:15-13:45, sala 112 SKK;
Podstawy reżyserii dźwięku;1M;mgr Kamil Biedrzycki;3;zal;zst;1;1;1;1;2;I;KiTM;poniedziałek, 17:00-20:00, sala 112 SKK, zajęcia w blokach. Realizacja w ustalonych przez prowadzącego terminach;"wyłącznie po zrealizowaniu kursu ""Podstawy realizacji nagrań"""
Praktyki orkiestrowe;wszystkie lata;opiekun dr Miłosz Kula;b.o.;zal;zal;1;1;2;2;4;I;KiTM;;zajęcia w blokach, terminy ustali prowadzący
Propedeutyka kompozycji komputerowej;3L;lic. Maciej Michaluk;2;zst;egz;2;2;2;2;4;I;KiTM;wtorek, 12:15-13:45, 112 SKK;
Propedeutyka muzyki teatralnej i filmowej;3L;"dr hab. Sebastian Ładyżyński /
 mgr Kamil Biedrzycki";2;zst;egz;2;2;2;2;4;I;KiTM;poniedziałek, 10:30-12:00, sala 112 SKK;
