Kontrapunkt 1 (grupa 1);1L;dr Michał Ziółkowski;2;zst;zst;2;2;2;2;4;I;KiTM;wtorek, 15:25-17:05, sala 301B;
Kontrapunkt 1 (grupa 2);1L;dr Michał Ziółkowski;2;zst;zst;2;2;2;2;4;I;KiTM;wtorek, 17:10-18:40, sala 301B;
Krytyka i prelekcja;2L;mgr Joanna Kołodziejska;10;zal;zst;2;2;2;2;4;I;KiTM;środa, 15:05-16:35, sala 002E;
Kształcenie słuchu 1 (grupa 1);1L;mgr Jan Przegendza;2;zst;zst;2;2;2;2;4;I;KiTM;poniedziałek, 15:45-17:15, sala 002E, (stacjonarnie);po semestrze zimowym zmiana prowadzących - wymiana z gr. 2
Kształcenie słuchu 1 (grupa 2);1L;mgr Urszula Koza;5;zst;zst;2;2;2;2;4;I;KiTM;poniedziałek, 15:45-17:15, sala 301B, (stacjonarnie);po semestrze zimowym zmiana prowadzących - wymiana z gr. 1
Kształcenie słuchu 2 (grupa 1);2L;dr hab. Michał Moc;2;zst;egz;2;2;2;2;4;I;KiTM;poniedziałek, 15:15-16:00, sala 301F, stacjonarnie. e-learning: realizowany indywidualnie wt-sb;"Kontynuacja ""Kształcenia słuchu 1"". Zapis tylko po wcześniejszym ustaleniu z prowadzącym"
Kształcenie słuchu 2 (grupa 2);2L;dr hab. Michał Moc;2;zst;egz;2;2;2;2;4;I;KiTM;poniedziałek, 16:15-17:00, sala 301F, stacjonarnie. e-learning: realizowany indywidualnie wt-sb;"Kontynuacja ""Kształcenia słuchu 1"". Zapis tylko po wcześniejszym ustaleniu z prowadzącym"
Kształcenie słuchu z partyturą orkiestrową;3L;dr hab. Tomasz Kienik;5;zst;egz;2;2;2;2;4;I;KiTM;poniedziałek, 08:50-10:20, sala 301B;Przedmiot rekomendowany studentom kompozycji i teorii muzyki
Kultura i sztuka Baroku na Śląsku 1648-1741;3L;dr Dariusz Galewski;30;zal;zst;2;2;2;2;4;I;KiTM;piątek, 10:05-11:35, sala 001E;
Literatura muzyczna 1;1L;dr Miłosz Kula;15;zst;zst;2;2;2;2;4;I;KiTM;poniedziałek, 13:50-15:20, sala 001E;Od starożytności do XVIII w.
Literatura muzyczna 2;2L;dr Aleksandra Pijarowska, prof. AMKL;2;zst;egz;2;2;2;2;4;I;KiTM;środa, 11:00-12:30, sala 301B;"Kontynuacja ""Literatury muzycznej 1"""
